Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
_sp_QuienBloqueaBD,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
ABC,Table,NativoDesde5000,NativoDesde5000,0,0,
ABCSugerido,Table,NativoDesde3100,IgualDesde3100,0,0,
ABCSugeridoCat,Table,NativoDesde3100,IgualDesde3100,0,0,
Acceso,Table,NativoDesde3100,CambioIntelisis,0,0,
AccesoMes,Table,NativoDesde5000,NativoDesde5000,0,0,
ACDiaCerrado,Table,NativoDesde3100,IgualDesde3100,0,0,
ACInversionAuto,Table,NativoDesde3100,IgualDesde3100,0,0,
Acronimo,Table,NativoDesde3100,IgualDesde3100,0,0,
ActCat,Table,NativoDesde3100,IgualDesde3100,0,0,
ActClave,Table,NativoDesde3100,IgualDesde3100,0,0,
ActFam,Table,NativoDesde3100,IgualDesde3100,0,0,
ActFDedActualizadaInversiones,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFDedAcumuladaInversiones,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFDedNormalInversiones,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFUtiloPerdEnajenaActivos,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFUtiloPerdEnajenaTerrenos,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
Actividad,Table,NativoDesde3100,IgualDesde3100,0,0,
Actividad_ASIS,View,NativoDesde3100,IgualDesde3100,0,0,
Actividad_GAS,View,NativoDesde3100,IgualDesde3100,0,0,
Actividad_VTAS,View,NativoDesde3100,IgualDesde3100,0,0,
ActividadEconomicaCNBV,Table,NativoDesde3100,IgualDesde3100,0,0,
ActividadTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
ActivoF,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ActivoFCat,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ActivoFDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ActivoFijo,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ActivoFijoC,Table,NativoDesde3100,IgualDesde3100,0,0,
ActivoFijoCampoExtra,View,SoloDeMavi,SoloDeMavi,0,0,
ActivoFijoCont,View,NativoDesde3100,IgualDesde3100,0,0,
ActivoFijoD,Table,NativoDesde3100,AmbosSinConflictos,CambioIntelisis,1,CambioMavi
ActivoFijoDExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
ActivoFijoExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
ActivoFijoSugerir,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFIndicador,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFLectura,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ActivoFReferencia,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFSubDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ActivoFTipo,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoIndicador,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoIndicadorLista,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoServicio,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoServicioCondicion,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivosF,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivosFTipos,Table,NativoDesde5000,NativoDesde5000,0,0,
Actualiza_CampoCobranza,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
ActualizacionRecargo,Table,NativoDesde5000,NativoDesde5000,0,0,
ActualizaGerenciaDetalle,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActualizaSIDFinger,Table,SoloDeMavi,SoloDeMavi,0,0,
AcuerdoTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
Acum,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumMayor,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumMayorSucursal,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumMESU,Table,NativoDesde5000,NativoDesde5000,0,0,
AcumP,Table,SoloDeMavi,SoloDeMavi,0,0,
AcumPMon,Table,NativoDesde5000,NativoDesde5000,0,0,
AcumR,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumRU,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumU,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumUGral,View,NativoDesde5000,NativoDesde5000,0,0,
AcumUWMS,Table,NativoDesde5000,NativoDesde5000,0,0,
Aduana,Table,NativoDesde3100,IgualDesde3100,0,0,
AfectacionCredilanaCXC,Table,SoloDeMavi,SoloDeMavi,0,0,
AfectacionUsuario,Table,NativoDesde5000,NativoDesde5000,0,0,
AfectarBitacora,Table,NativoDesde3100,IgualDesde3100,0,0,
agdArchivoLog,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCartaCupo,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCartaCupoArchivo,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCartaCupoD,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCfg,Table,NativoDesde3100,IgualDesde3100,0,0,
AgendaEstacion,Table,NativoDesde5000,NativoDesde5000,0,0,
AgendaHora,Table,NativoDesde3100,IgualDesde3100,0,0,
Agent,Table,NativoDesde3100,IgualDesde3100,0,0,
AgentAux,View,NativoDesde3100,IgualDesde3100,0,0,
AgentC,Table,NativoDesde3100,IgualDesde3100,0,0,
AgentCont,View,NativoDesde3100,IgualDesde3100,0,0,
AgentD,Table,NativoDesde3100,IgualDesde3100,0,0,
Agente,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
AgenteAcceso,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteActividad,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteAgenda,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteArt,Table,NativoDesde5000,NativoDesde5000,0,0,
AgenteCampoExtra,View,SoloDeMavi,SoloDeMavi,0,0,
AgenteCat,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteComisionTipoFactura,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteConsecutivo,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteCte,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteFam,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteFamiliaHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteGrupo,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteNivelHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteNombre,View,NativoDesde3100,IgualDesde3100,0,0,
AgenteObjetivos,Table,NativoDesde5000,NativoDesde5000,0,0,
AgentePersonal,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteReportaHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteRutaMavi,Table,SoloDeMavi,SoloDeMavi,0,0,
Agentes,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteTipoHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgentExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
AgenteZona,Table,NativoDesde5000,NativoDesde5000,0,0,
AgentPendiente,View,NativoDesde3100,IgualDesde3100,0,0,
AgentSaldo,View,NativoDesde3100,IgualDesde3100,0,0,
AgentUnico,View,NativoDesde3100,IgualDesde3100,0,0,
Agrupado,Table,SoloDeMavi,SoloDeMavi,0,0,
AjusteAnual,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Alchemy_Ctes,Table,SoloDeMavi,SoloDeMavi,0,0,
Alm,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
AlmABC,Table,NativoDesde3100,IgualDesde3100,0,0,
AlmCompra,View,NativoDesde3100,IgualDesde3100,0,0,
AlmDist,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmDistribucion,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AlmGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
AlmMES,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmOrdenAcomodoReciboMov,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmOrdenAcomodoSurtidoMov,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmOrdenEntarimadoMov,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmPos,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AlmProceso,View,NativoDesde3100,IgualDesde3100,0,0,
AlmROP,View,NativoDesde3100,IgualDesde3100,0,0,
AlmSugerirSurtidoTarima,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmTipo,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmVenta,View,NativoDesde3100,IgualDesde3100,0,0,
Amenidades,Table,NativoDesde5000,NativoDesde5000,0,0,
AmenidadesHorario,Table,NativoDesde5000,NativoDesde5000,0,0,
AnaliticoDistNomina,Table,SoloDeMavi,SoloDeMavi,0,0,
ANDROID_PASOS,Table,SoloDeMavi,SoloDeMavi,0,0,
AnexoBase64,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoCat,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoContaSAT,Table,SoloDeMavi,SoloDeMavi,0,0,
AnexoCta,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AnexoCta50,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoCtaSub,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoDocTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoFam,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoMov,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
AnexoMovComprobante,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoMovD,Table,NativoDesde3100,IgualDesde3100,0,0,
Anticipo,Table,NativoDesde3100,CambioSoloMavi,0,1,CambioSoloMavi
AnticipoFactura,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
AnticipoPendiente,View,NativoDesde3100,IgualDesde3100,0,0,
AnticiposCtes,Table,NativoDesde5000,NativoDesde5000,0,0,
Anuncio,Table,NativoDesde3100,IgualDesde3100,0,0,
AnuncioArt,Table,NativoDesde3100,IgualDesde3100,0,0,
AnuncioD,Table,NativoDesde3100,IgualDesde3100,0,0,
AnuncioHorario,Table,NativoDesde3100,IgualDesde3100,0,0,
aplicaciones,Table,NativoDesde5000,NativoDesde5000,0,0,
APLICNOTCRED_DEP2016,Table,SoloDeMavi,SoloDeMavi,0,0,
ApoyosMayPisoRevisionMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AppEmbarqueUbicacion,View,NativoDesde5000,NativoDesde5000,0,0,
Archivo,Table,NativoDesde3100,IgualDesde3100,0,0,
ArchivoD,Table,NativoDesde3100,IgualDesde3100,0,0,
ArchivoTemp,Table,EnProduccionYNativo5000,Ambos,1,0,
Area,Table,NativoDesde3100,IgualDesde3100,0,0,
aroDeteccion,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEvento,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEventoPerdida,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEventoPerdidaD,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEventoPerdidaPoliza,Table,NativoDesde3100,IgualDesde3100,0,0,
aroFactor,Table,NativoDesde3100,IgualDesde3100,0,0,
aroLinea,Table,NativoDesde3100,IgualDesde3100,0,0,
aroNivel,Table,NativoDesde3100,IgualDesde3100,0,0,
aroOcurrencia,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProcedimiento,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProcedimientoArt,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProcedimientoUnidad,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProceso,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgo,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoArt,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoControlInterno,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoEvaluacion,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoEvaluacionD,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoFactor,Table,NativoDesde3100,IgualDesde3100,0,0,
aroSeveridad,Table,NativoDesde3100,IgualDesde3100,0,0,
aroSeveridadCualitativa,View,NativoDesde3100,IgualDesde3100,0,0,
aroSeveridadCuantitativa,View,NativoDesde3100,IgualDesde3100,0,0,
aroUnidad,Table,NativoDesde3100,IgualDesde3100,0,0,
aroValuacion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArrastreProy,Table,NativoDesde5000,NativoDesde5000,0,0,
Art,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
Art_Clasificacion_Ieps,Table,NativoDesde5000,NativoDesde5000,0,0,
art_clonar_prop_e_img,Table,SoloDeMavi,SoloDeMavi,0,0,
ArtAcceso,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtAccesorio,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtACCupon,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtActividad,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtAlm,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ArtAlmABC,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtAlmABCHist,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtAlmMES,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtAlmSubDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ArtAnexo,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtApartadoSerieTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtApartadoTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtApartadoTarimaSL,View,NativoDesde5000,NativoDesde5000,0,0,
ArtArancel,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtArancelProgramaSectorial,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtArancelTratadoComercial,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtAsignadoCte,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtCalidad,Table,NativoDesde3100,IgualDesde3100,0,0,
artcambiolinea,Table,SoloDeMavi,SoloDeMavi,0,0,
ArtCat,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtCatABC,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCatProd,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCatTarjetaPuntos,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCBJuego,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtColumna,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtComision,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtComisionHist,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCompraProrrateo,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtConCosto,View,NativoDesde3100,IgualDesde3100,0,0,
ArtConCostoAlm,View,NativoDesde5000,NativoDesde5000,0,0,
ArtConDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ArtConsignacion,View,NativoDesde3100,IgualDesde3100,0,0,
ArtConsumible,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCosto,Table,NativoDesde3100,AmbosSinConflictos,CambioIntelisis,1,CambioMavi
ArtCostoCapas,View,NativoDesde3100,IgualDesde3100,0,0,
ArtCostoEmpresa,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtCostoEmpresaAlm,View,NativoDesde5000,NativoDesde5000,0,0,
ArtCostoHist,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCostoSucursal,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtCte,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtCteCompetencia,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtCuota,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtCuotaDesc,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtDescuentoCompra,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtDisponible,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtDisponibleCatalogo,View,NativoDesde3100,IgualDesde3100,0,0,
ArtDisponibleDesc,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtDisponibleReservado,View,NativoDesde3100,IgualDesde3100,0,0,
ArtDisponibleTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtEcommerce,Table,SoloDeMavi,SoloDeMavi,0,0,
ArtEspacio,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtEstructuraProducto,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtExistenciaConsig,View,NativoDesde3100,IgualDesde3100,0,0,
ArtExistenciaIntMES,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtExistenciaInv,View,NativoDesde3100,IgualDesde3100,0,0,
ArtExistenciaNeta,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtExistenciaReservado,View,NativoDesde3100,IgualDesde3100,0,0,
ArtExistenciaTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtExplosion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtFactor,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtFam,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ArtFamMes,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtFamPresupuesto,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtFecha,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtGrupo,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ARTHIST,Table,SoloDeMavi,SoloDeMavi,0,0,
ArticuloCXCFacturaCteMaviSI,Table,SoloDeMavi,SoloDeMavi,0,0,
ArtIdioma,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtInfoAdicional,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtIntelisisService,View,NativoDesde5000,NativoDesde5000,0,0,
ArtJuego,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtJuegoD,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtJuegoOmision,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtKms,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtLinea,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ArtLineaD,Table,SoloDeMavi,SoloDeMavi,0,0,
ArtLoteFijo,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtMaterial,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtMaterialHist,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtMaterialHistD,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtMatriz,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtMES,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtModelo,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtOpcion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtOpcionD,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtOpcionPreliminar,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtOpcionWizard,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtOperacion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtPartida,View,NativoDesde3100,IgualDesde3100,0,0,
ArtPedidos,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtPieza,View,NativoDesde3100,IgualDesde3100,0,0,
ArtPlanEx,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtPrecioCostoMoneda,View,NativoDesde3100,IgualDesde3100,0,0,
ArtPrecioHist,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtPresenta,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtProrrateo,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtProv,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtProvHist,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtProvSucursal,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtProvUnidad,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtQuiebre,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtR,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtRama,View,NativoDesde3100,IgualDesde3100,0,0,
ArtRefaccion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtRemisionado,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtRenglon,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtReservado,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtReservadoTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtRotacion,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtSaldoUSinTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtServicio,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtSituacionHist,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtSolicitudes,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSub,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubAsignadoCte,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubConsignacion,View,NativoDesde3100,IgualDesde3100,0,0,
ArtSubCosto,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubCostoEmpresa,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubCostoEmpresaOpcion,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubCostoHist,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubCostoSucursal,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ArtSubDisponibleDesc,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubDisponibleTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubExistenciaConsig,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubExistenciaConsigAF,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubExistenciaConsigAFTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubExistenciaConsigAFTarima2,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubExistenciaConsigOpcion,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubExistenciaInv,View,NativoDesde3100,IgualDesde3100,0,0,
ArtSubExistenciaInvCsg,View,NativoDesde3100,IgualDesde3100,0,0,
ArtSubExistenciaInvCsgTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubExistenciaInvTarima,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubExistenciaReservado,View,NativoDesde3100,IgualDesde3100,0,0,
ArtSubExistenciaReservadoOpcion,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubFamMes,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtSubRemisionado,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubReservado,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtSubReservadoOpcion,View,NativoDesde5000,NativoDesde5000,0,0,
ArtSubVentaPendiente,View,NativoDesde3100,IgualDesde3100,0,0,
ArtSucursal,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtSustituto,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtTemporada,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtTipo,Table,NativoDesde5000,NativoDesde5000,0,0,
ArtUlt,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtUnidad,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtUtil,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtVentaPendiente,View,NativoDesde3100,IgualDesde3100,0,0,
ArtVersion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtVINAccesorio,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtVtasMostrador,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ArtZona,Table,NativoDesde5000,NativoDesde5000,0,0,
Aseguradora,Table,NativoDesde3100,IgualDesde3100,0,0,
AsigCtasMovsEmbarcadosMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AsigCtasMovsNoPendientesMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
ASIGNACION_PERMISOS,Table,SoloDeMavi,SoloDeMavi,0,0,
AsignacionAvalesClientesJob,Table,SoloDeMavi,SoloDeMavi,0,0,
Asiste,Table,NativoDesde3100,IgualDesde3100,0,0,
AsisteC,Table,NativoDesde3100,IgualDesde3100,0,0,
AsisteCont,View,NativoDesde3100,IgualDesde3100,0,0,
AsisteD,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AsisteEmailEnviado,Table,NativoDesde5000,NativoDesde5000,0,0,
AsisteExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
Aspel_Paso,Table,NativoDesde5000,NativoDesde5000,0,0,
AspelArticulosTotal,View,NativoDesde3100,IgualDesde3100,0,0,
AspelCargaProp,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCargaReg,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCatCuentas,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCfg,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCfgCatalogo,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCfgConceptos,Table,NativoDesde5000,NativoDesde5000,0,0,
AspelCfgModuloMayor,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCfgMovimiento,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelCfgOpcion,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelClasCte,Table,NativoDesde5000,NativoDesde5000,0,0,
AspelCuentasTotal,View,NativoDesde3100,IgualDesde3100,0,0,
AspelFlujo,Table,NativoDesde5000,NativoDesde5000,0,0,
AspelLog,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelMcCarga,Table,NativoDesde3100,IgualDesde3100,0,0,
AspelProcesos,Table,NativoDesde5000,NativoDesde5000,0,0,
AspelSeriesTotal,View,NativoDesde3100,IgualDesde3100,0,0,
Aula,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoBoleto,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoBoletoMov,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AutoBomba,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoCfg,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoComision,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoCorrida,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoCorridaComision,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoCorridaPlantilla,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AutoCorridaRol,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoCorridaRolComision,Table,NativoDesde3100,IgualDesde3100,0,0,
AutoDescuento,Table,NativoDesde3100,IgualDesde3100,0,0,
