Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
FN_CobMasAplicacion,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_ConContImporteCheque,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_CosteoFleteMetrosVolumen,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_CostoCorrecto,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_CtaContableNCredMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_CtaContableVtasMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_CtaDineroCheq,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_CtaNotaCargo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_desencrypta,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FN_DevAnticipo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_diagramobjects,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DiasInactividadMAVI,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_diasvencidoscxc,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_DiaTraspaso_ProdMAVI,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0021BUComisionesChoferes,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_DM0028DiasIncidenciaxAgt,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0112TiempototalServicasaCred,Table Function,SoloDeMavi,SoloDeMavi,0,0,
fn_DM0116TotalALetra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0138ValidaCaracter,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0138ValidaCorreo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0138ValidaCorreoPrel,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0154PlazoPromedio,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0169defaultformapagotipo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0169GastosAfectarUsuarioCONGA,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0169PrecioContadoItalika,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0169ValidacionItalika,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0169ValidarPagares,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0175Recuperacion,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0175RecuperacionGer,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0175RecuperacionGerDiv,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0175RecuperacionSuper,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0175RecuperacionUen,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_DM0187ContrasenaInsegura,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_DM0187ValidaContrasena,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0207ValidarEjecucionAsignacion,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0207ValidaRuta,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0209ComprobarCancelado,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0209ComprobarExistenciaPermisos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0209ComprobarPermisos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0209ComprobarUsuarioContrasena,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0214ValidarEjecucionZonas,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0230ListRecuperacionJOB,Inline Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0237VERIFICACOBRANZA,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0255ComprobarPermisos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0255ValidaUEN,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0255ValidaUsuarioContraseña,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0258Monedero,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0259ComprobarPermisosD,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0259ComprovarMovAutorizados,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0266VerAcceso,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0269DatosSPRutaReparto,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0269DatosSPRutaRepartoChoferes,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0275ImprimePedido,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0277ValidaImportados,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0278DatosClienteCancelacionSeguroVida,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0278DatosPersonalCancelacionSeguroVida,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0278DiasVencidosSeguroVida,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0278VerificarAccesoCobranza,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0278VerificarCargaDocumentos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0278VerificarUsuarioAcceso,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0281PermiteEjecutar,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0289ObtenerEjecucionDevolucionCompra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0292ValidaAplica,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0296CondicionAutorizacion,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0296NombreUsuario,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_DM0296ValidaCambioACtaPorEstado,Table Function,SoloDeMavi,SoloDeMavi,0,0,
fn_DM0297CandadoArtSegu,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0304FamiliaLineaRelacionada,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
